ก.	k @@ 
กฎ	k o t^ 
กฎหมาย	k o t^ m aa j^ 
กฎหมายอาญา	k o t^ m aa j^ z aa j aa 
กฎเกณฑ์	k o t^ k ee n^ 
กด	k o t^ 
กดขี่	k o t^ kh ii 
กดดัน	k o t^ d a n^ 
กตัญญู	k a t a n^ j uu 
กติกา	k a t i k aa 
กทม.	k @@ th @@ m @@ 
กบฏ	k a b o t^ 
กมล	k a m o n^ 
กรกฎาคม	k a r a k^ k a d aa kh o m^ 
กรกฎาคม	k a r a k a d aa kh o m^ 
กรณี	k @@ r a n ii 
กรม	kr o m^ 
กรรม	k a m^ 
กรรมกร	k a m^ m a k @@ n^ 
กรรมการ	k a m^ m a k aa n^ 
กรรมพันธุ์	k a m^ m a ph a n^ 
กรรมวิธี	k a m^ m a w i th ii 
กรรมสิทธิ์	k a m^ m a s i t^ 
กรรมาธิการ	k a m^ m aa th i k aa n^ 
กรอ.	k @@ r @@ z @@ 
กรอบ	kr @@ p^ 
กระจก	kr a c o k^ 
กระจกเงา	kr a c o k^ ng a w^ 
กระจัดกระจาย	kr a c a t^ kr a c aa j^ 
กระจาบ	kr a c aa p^ 
กระจาย	kr a c aa j^ 
กระจ่าง	kr a c aa ng^ 
กระดูก	kr a d uu k^ 
กระตือรือร้น	kr a t vv r vv r o n^ 
กระตุก	kr a t u k^ 
กระตุ้น	kr a t u n^ 
กระทบ	kr a th o p^ 
กระทบกระทั่ง	kr a th o p^ kr a th a ng^ 
กระทบกระเทือน	kr a th o p^ kr a th vva n^ 
กระทรวง	kr a s uua ng^ 
กระทรวง	kr a s uua ng^  
กระทั่ง	kr a th a ng^ 
กระทำ	kr a th a m^ 
กระทู้	kr a th uu 
กระท่อม	kr a th @@ m^ 
กระนั้น	kr a n a n^ 
กระบวน	kr a b uua n^ 
กระบวนการ	kr a b uua n^ k aa n^ 
กระป๋อง	kr a p @ ng^ 
กระพือ	kr a ph vv 
กระมัง	kr a m a ng^ 
กระสุน	kr a s u n^ 
กระหาย	kr a h aa j^ 
กระเดียด	kr a d iia t^ 
กระเทือน	kr a th vva n^ 
กระแทก	kr a th xx k^ 
กระแส	kr a s xx 
กระโดด	kr a d oo t^ 
กระโน้น	kr a n oo n^ 
กระไร	kr a r a j^ 
กราบ	kr aa p^ 
กริยา	kr i j aa 
กรีซ	kr ii s^ 
กรีน	kr ii n^ 
กรุง	kr u ng^ 
กรุงเทพ	kr u ng^ th ee p^ 
กรุงเทพมหานคร	kr u ng^ th ee p^ m a h aa n a kh @@ n^ 
กรุณา	k a r u n aa 
กรุณาธิคุณ	k a r u n aa th i kh u n^ 
กลม	kl o m^ 
กลมกลืน	kl o m^ kl vv n^ 
กลยุทธ์	k o n^ l a j u t^ 
กลวิธาน	k o n^ l a w i th aa n^ 
กลวิธี	k o n^ l a w i th ii 
กลับ	kl a p^ 
กลับกลาย	kl a p^ kl aa j^ 
กลัว	kl uua 
กลั่นกรอง	kl a n^ kr @@ ng^ 
กลั้น	kl a n^ 
กลาง	kl aa ng^ 
กลางคืน	kl aa ng^ kh vv n^ 
กลางวัน	kl aa ng^ w a n^ 
กลาย	kl aa j^ 
กลาโหม	k a l aa h oo m^ 
กลิ่น	kl i n^ 
กลืน	kl vv n^ 
กลุ่ม	kl u m^ 
กลไก	k o n^ k a j^ 
กล่องเสียง	kl @ ng^ s iia ng^ 
กล่าว	kl aa w^ 
กล่าวขวัญ	kl aa w^ khw a n^ 
กล่าวคือ	kl aa w^ kh vv 
กล่าวว่า	kl aa w^ w aa 
กล่าวหา	kl aa w^ h aa 
กล่าวอ้าง	kl aa w^ z aa ng^ 
กล้า	kl aa 
กล้ามเนื้อ	kl aa m^ n vva 
กล้าหาญ	kl aa h aa n^ 
กวาดล้าง	kw aa t^ l aa ng^ 
กวี	k a w ii 
กวีนิพนธ์	k a w ii n i ph o n^ 
กว่า	kw aa 
กว้าง	kw aa ng^ 
กว้างขวาง	kw aa ng^ khw aa ng^ 
กว้าน	kw aa n^ 
กษัตริย์	k a s a t^ 
กษัยการ	k a s a j^ j a k aa n^ 
กสิกร	k a s i k @@ n^ 
กสิกรรม	k a s i k a m^ 
กอง	k @@ ng^ 
กองทหาร	k @@ ng^ th a h aa n^ 
กองทัพ	k @@ ng^ th a p^ 
กองทุน	k @@ ng^ th u n^ 
กองพัน	k @@ ng^ ph a n^ 
กอบกู้	k @@ p^ k uu 
กอบโกย	k @@ p^ k oo j^ 
กอร์บาชอฟ	k @@ b aa ch @@ p^ 
กะทันหัน	k a th a n^ h a n^ 
กะทูน	k a th uu n^ 
กะโหลก	k a l oo k^ 
กักกุม	k a k^ k u m^ 
กังวล	k a ng^ w o n^ 
กังวาล	k a ng^ w aa n^ 
กัณหา	k a n^ h aa 
กัด	k a t^ 
กัน	k a n^ 
กันยายน	k a n^ j aa j o n^ 
กันเอง	k a n^ z ee ng^ 
กันและกัน	k a n^ l x k a n^ 
กับ	k a p^ 
กัป	k a p^ 
กัมพูชา	k a m^ ph uu ch aa 
กั้น	k a n^ 
กาก	k aa k^ 
กาญจนบุรี	k aa n^ c a n a b u r ii 
กาม	k aa m^ 
กาย	k aa j^ 
กายภาพ	k aa j^ j a ph aa p^ 
การ	k aa n^ 
การค้า	k aa n^ kh aa 
การงาน	k aa n^ ng aa n^ 
การณ์	k aa n^ 
การดำเนิน	k aa n^ d a m^ n qq n^ 
การตลาด	k aa n^ t a l aa t^ 
การทหาร	k aa n^ th a h aa n^ 
การผลิต	k aa n^ ph a l i t^ 
การละคร	k aa n^ l a kh @@ n^ 
การวิจัย	k aa n^ w i c a j^ 
การศึกษา	k aa n^ s v k^ s aa 
การสัมมนา	k aa n^ s a m^ m a n aa 
การันต์	k aa r a n^ 
การุณยวนิช	k aa r u n^ j a w a n i t^ 
การเกษตร	k aa n^ k a s ee t^ 
การเงิน	k aa n^ ng q n^ 
การเมือง	k aa n^ m vva ng^ 
การได้ยิน	k aa n^ d aa j^ j i n^ 
กาล	k aa n^ 
กาลิโก	k aa l i k oo 
กาลเทศะ	k aa l a th ee s a 
กาลเวลา	k aa n^ w ee l aa 
กาแฟ	k aa f xx 
กำจัด	k a m^ c a t^ 
กำนัน	k a m^ n a n^ 
กำพร้า	k a m^ phr aa 
กำลัง	k a m^ l a ng^ 
กำลังจะ	k a m^ l a ng^ c a 
กำลังเอก	k a m^ l a ng^ z ee k^ 
กำลังใจ	k a m^ l a ng^ c a j^ 
กำสรวล	k a m^ s uua n^ 
กำหนด	k a m^ n o t^ 
กำหนดการ	k a m^ n o t^ k aa n^ 
กำเดา	k a m^ d a w^ 
กำเนิด	k a m^ n qq t^ 
กำไร	k a m^ r a j^ 
กิจ	k i t^ 
กิจกรรม	k i t^ c a k a m^ 
กิจการ	k i t^ c a k aa n^ 
กิจวัตร	k i t^ c a w a t^ 
กิตติ	k i t^ t i 
กิตติขจร	k i t^ t i kh a c @@ n^ 
กิน	k i n^ 
กินดี	k i n^ d ii 
กินอยู่	k i n^ j uu 
กิริยา	k i r i j aa 
กิเลส	k i l ee t^ 
กีดกัน	k ii t^ k a n^ 
กีดขวาง	k ii t^ khw aa ng^ 
กีฬา	k ii l aa 
กี่	k ii 
กึ่ง	k v ng^ 
กุม	k u m^ 
กุมภาพันธ์	k u m^ ph aa ph a n^ 
กุศล	k u s o n^ 
กุหลาบ	k u l aa p^ 
กุ้ง	k u ng^ 
กู	k uu 
กู้	k uu 
ก็	k @@ 
ก็ดี	k @@ d ii 
ก็ตาม	k @@ t aa m^ 
ก็ตามแต่	k @@ t aa m^ t xx 
ก็ได้	k @@ d a j^ 
ก็ได้	k @@ d aa j^ 
ก่อ	k @@ 
ก่อตั้ง	k @@ t a ng^ 
ก่อน	k @@ n^ 
ก่อนหน้า	k @@ n^ n aa 
ก่อนหน้านี้	k @@ n^ n aa n ii 
ก่อสร้าง	k @@ s aa ng^ 
ก้อน	k @@ n^ 
ก้อย	k @@ j^ 
ก้าว	k aa w^ 
ก้าวร้าว	k aa w^ r aa w^ 
ก้าวหน้า	k aa w^ n aa 
ก๊กมินตั๋ง	k o k^ m i n^ t a ng^ 
ก๊าซ	k aa t^ 
ก๋อง	k @ ng^ 
ข.	kh @@ 
ขจรประศาสน์	kh a c @@ n^ pr a s aa t^ 
ขจัด	kh a c a t^ 
ขณะ	kh a n a 
ขณะที่	kh a n a th ii 
ขณะนั้น	kh a n a n a n^ 
ขณะนี้	kh a n a n ii 
ขณะเดียวกัน	kh a n a d iia w^ k a n^ 
ขนบ	kh a n o p^ 
ขนมปัง	kh a n o m^ p a ng^ 
ขนส่ง	kh o n^ s o ng^ 
ขนาด	kh a n aa t^ 
ขบคิด	kh o p^ kh i t^ 
ขบวน	kh a b uua n^ 
ขบวนการ	kh a b uua n^ k aa n^ 
ขยะ	kh a j a 
ขยัน	kh a j a n^ 
ขยับ	kh a j a p^ 
ขยับขยาย	kh a j a p^ kh a j aa j^ 
ขยาย	kh a j aa j^ 
ขวด	kh uua t^ 
ขวนขวาย	kh uua n^ khw aa j^ 
ขวบ	kh uua p^ 
ขวัญ	khw a n^ 
ขวา	khw aa 
ขอ	kh @@ 
ของ	kh @@ ng^ 
ของชำ	kh @@ ng^ ch a m^ 
ของเล่น	kh @@ ng^ l e n^ 
ของเสีย	kh @@ ng^ s iia 
ของใช้	kh @@ ng^ ch a j^ 
ขอนแก่น	kh @@ n^ k x n^ 
ขอบข่าย	kh @@ p^ kh aa j^ 
ขอบคุณ	kh @@ p^ kh u n^ 
ขอบเขต	kh @@ p^ kh ee t^ 
ขอม	kh @@ m^ 
ขอร้อง	kh @@ r @@ ng^ 
ขัง	kh a ng^ 
ขัด	kh a t^ 
ขัดขวาง	kh a t^ khw aa ng^ 
ขัดขืน	kh a t^ kh vv n^ 
ขัดข้อง	kh a t^ kh @ ng^ 
ขัดสมาธิ	kh a t^ s a m aa t^ 
ขัดแย้ง	kh a t^ j xx ng^ 
ขัน	kh a n^ 
ขันธ์	kh a n^ 
ขับ	kh a p^ 
ขับถ่าย	kh a p^ th aa j^ 
ขั้น	kh a n^ 
ขั้นตอน	kh a n^ t @@ n^ 
ขั้นบันได	kh a n^ b a n^ d a j^ 
ขา	kh aa 
ขาด	kh aa t^ 
ขาดแคลน	kh aa t^ khl xx n^ 
ขานรับ	kh aa n^ r a p^ 
ขาย	kh aa j^ 
ขายตัว	kh aa j^ t uua 
ขายปลีก	kh aa j^ pl ii k^ 
ขาว	kh aa w^ 
ขาเข้า	kh aa kh a w^ 
ขีด	kh ii t^ 
ขีดสุด	kh ii t^ s u t^ 
ขีปนาวุธ	kh ii p a n aa w u t^ 
ขี่	kh ii 
ขี้เกียจ	kh ii k iia t^ 
ขึ้น	kh v n^ 
ขืน	kh vv n^ 
ขุด	kh u t^ 
ขุน	kh u n^ 
ขุนนาง	kh u n^ n aa ng^ 
ขูด	kh uu t^ 
ข่มขู่	kh o m^ kh uu 
ข่มเหง	kh o m^ h ee ng^ 
ข่าย	kh aa j^ 
ข่ายงาน	kh aa j^ ng aa n^ 
ข่าว	kh aa w^ 
ข่าวกรอง	kh aa w^ kr @@ ng^ 
ข่าวคราว	kh aa w^ khr aa w^ 
ข่าวลือ	kh aa w^ l vv 
ข่าวสาร	kh aa w^ s aa n^ 
ข้อ	kh @@ 
ข้อขัดแย้ง	kh @@ kh a t^ j xx ng^ 
ข้อความ	kh @@ khw aa m^ 
ข้อคิด	kh @@ kh i t^ 
ข้อง	kh @ ng^ 
ข้องคับ	kh @ ng^ kh a p^ 
ข้องใจ	kh @ ng^ c a j^ 
ข้อจำกัด	kh @@ c a m^ k a t^ 
ข้อดี	kh @@ d ii 
ข้อบังคับ	kh @@ b a ng^ kh a p^ 
ข้อมูล	kh @@ m uu n^ 
ข้อสงสัย	kh @@ s o ng^ s a j^ 
ข้อสรุป	kh @@ s a r u p^ 
ข้อสังเกต	kh @@ s a ng^ k ee t^ 
ข้อหา	kh @@ h aa 
ข้อห้าม	kh @@ h aa m^ 
ข้ออ้าง	kh @@ z aa ng^ 
ข้อเขียน	kh @@ kh iia n^ 
ข้อเท็จจริง	kh @@ th e t^ c i ng^ 
ข้อเรียกร้อง	kh @@ r iia k^ r @@ ng^ 
ข้อเสนอ	kh @@ s a n qq 
ข้อเสีย	kh @@ s iia 
ข้อแก้ตัว	kh @@ k xx t uua 
ข้อโต้แย้ง	kh @@ t oo j xx ng^ 
ข้าง	kh aa ng^ 
ข้างต้น	kh aa ng^ t o n^ 
ข้างนอก	kh aa ng^ n @@ k^ 
ข้างมาก	kh aa ng^ m aa k^ 
ข้างหน้า	kh aa ng^ n aa 
ข้างใน	kh aa ng^ n a j^ 
ข้าพเจ้า	kh aa ph a c a w^ 
ข้าม	kh aa m^ 
ข้าราชการ	kh aa r aa t^ ch a k aa n^ 
ข้าว	kh aa w^ 
ข้าวเปลือก	kh aa w^ pl vva k^ 
ข้าวเหนียว	kh aa w^ n iia w^ 
คง	kh o ng^ 
คงจะ	kh o ng^ c a 
คงทน	kh o ng^ th o n^ 
คงที่	kh o ng^ th ii 
คงสมพงษ์	kh o ng^ s o m^ ph o ng^ 
คณบดี	kh a n a b @@ d ii 
คณะ	kh a n a 
คณาจารย์	kh a n aa c aa n^ 
คดี	kh a d ii 
คติ	kh a t i 
คน	kh o n^ 
คนงาน	kh o n^ ng aa n^ 
คนป่วย	kh o n^ p uua j^ 
คนรัก	kh o n^ r a k^ 
คนร้าย	kh o n^ r aa j^ 
คนหนึ่ง	kh o n^ n v ng^ 
คนเรา	kh o n^ r a w^ 
คนใด	kh o n^ d a j^ 
คนใดคนหนึ่ง	kh o n^ d a j^ kh o n^ n v ng^ 
คนไข้	kh o n^ kh a j^ 
คบ	kh o p^ 
คบค้า	kh o p^ kh aa 
คบหา	kh o p^ h aa t^ 
คม	kh o m^ 
คมนาคม	kh a m a n aa kh o m^ 
ครบ	khr o p^ 
ครบถ้วน	khr o p^ th uua n^ 
ครม.	kh @@ r @@ m @@ 
ครรภ์	kh a n^ 
ครอง	khr @@ ng^ 
ครองชีพ	khr @@ ng^ ch ii p^ 
ครอบ	khr @@ p^ 
ครอบครอง	khr @@ p^ khr @@ ng^ 
ครอบครัว	khr @@ p^ khr uua 
ครอบคลุม	khr @@ p^ khl u m^ 
ครอบงำ	khr @@ p^ ng a m^ 
ครับ	khr a p^ 
ครัวเรือน	khr uua r vva n^ 
ครั้ง	khr a ng^ 
ครั้งคราว	khr a ng^ khr aa w^ 
ครั้งนั้น	khr a ng^ n a n^ 
ครั้งนี้	khr a ng^ n ii 
ครั้น	khr a n^ 
คราประยูร	khr aa pr a j uu n^ 
คราว	khr aa w^ 
คราวนี้	khr aa w^ n ii 
คริสตจักร	khr i t^ t a c a k^ 
คริสต์	khr i t^ 
คริสต์ศักราช	khr i t^ s a k^ k a r aa t^ 
ครึ่ง	khr v ng^ 
ครุสชอฟ	khr u s^ ch @@ f^ 
ครู	khr uu 
ครูบาอาจารย์	khr uu b aa z aa c aa n^ 
คร่าว	khr aa w^ 
คลอด	khl @@ t^ 
คลัง	khl a ng^ 
คลาดเคลื่อน	khl aa t^ khl vva n^ 
คลาย	khl aa j^ 
คลาสสิค	khl aa t^ s i k^ 
